TimeSteps,"Static fine mesh",AMR/LB
1128,17.9723,0.354247
1129,17.9878,0.354561
1130,18.0034,0.354872
1131,18.019,0.355194
1132,18.0346,0.355506
1133,18.0502,0.355819
1134,18.0658,0.356133
1135,18.0816,0.356444
1136,18.0978,0.356756
1137,18.1141,0.357069
1138,18.1305,0.357381
1139,18.1463,0.357697
1140,18.1622,0.358008
