TimeSteps,"Static fine mesh",AMR/LB
247,3.9606,0.0760222
248,3.97637,0.0763472
249,3.99212,0.0766917
250,4.00785,0.0770167
251,4.02368,0.0773472
252,4.03945,0.0776806
253,4.05526,0.0780139
254,4.07099,0.0783444
255,4.08672,0.0786694
256,4.10252,0.0789972
257,4.11826,0.0793222
258,4.13404,0.0796444
259,4.14979,0.0799667
260,4.1654,0.0802861
261,4.18112,0.0806111
262,4.19676,0.0809389
263,4.21236,0.0812639
264,4.22787,0.0815944
265,4.24344,0.0819278
266,4.25897,0.0822472
267,4.27455,0.0825889
268,4.29007,0.0829167
269,4.30561,0.0832528
270,4.321,0.0835833
271,4.33639,0.0839111
272,4.35192,0.0842389
273,4.36739,0.0845667
274,4.38286,0.0849
275,4.39823,0.0852278
276,4.41361,0.0855556
277,4.42907,0.0858861
278,4.44455,0.0862083
279,4.45999,0.0865333
280,4.47545,0.0868583
281,4.49092,0.0871833
282,4.50637,0.0875083
283,4.52193,0.0878306
284,4.53741,0.0881611
285,4.55286,0.0884861
286,4.56838,0.0888139
287,4.5839,0.0891417
288,4.59947,0.0894667
289,4.61489,0.0898028
290,4.63037,0.090125
291,4.64585,0.0904583
292,4.66138,0.0907806
293,4.67692,0.0911083
294,4.69246,0.0914417
295,4.70798,0.0917694
296,4.72355,0.0920944
297,4.73913,0.0924194
298,4.75459,0.0927444
299,4.7701,0.0930889
300,4.78554,0.0934167
301,4.80089,0.0937444
302,4.81632,0.094075
303,4.83174,0.0944
304,4.84723,0.0947278
305,4.86256,0.0950583
306,4.87805,0.0953917
307,4.89384,0.0957278
308,4.90979,0.0960611
309,4.92584,0.0963917
310,4.94177,0.0967222
311,4.95722,0.0970556
312,4.97274,0.0973861
313,4.98841,0.0977167
314,5.00396,0.0980472
315,5.01949,0.0983806
316,5.03494,0.0987111
317,5.05047,0.0990444
318,5.06602,0.099375
319,5.08153,0.0997111
320,5.09711,0.100039
321,5.11261,0.100369
322,5.12825,0.100697
323,5.14378,0.101025
324,5.15929,0.101353
325,5.17477,0.101678
326,5.19048,0.102003
327,5.20617,0.102328
328,5.22196,0.102656
329,5.23771,0.102986
330,5.25336,0.103311
331,5.26911,0.103636
332,5.28484,0.103961
333,5.30064,0.104283
334,5.31634,0.104608
335,5.33197,0.104933
336,5.34759,0.105261
337,5.36324,0.105592
338,5.37868,0.105919
339,5.3942,0.106247
340,5.40971,0.106569
341,5.42518,0.106894
342,5.44073,0.107219
343,5.45607,0.107544
344,5.47159,0.107869
345,5.48698,0.108194
346,5.50238,0.108517
347,5.51784,0.108839
348,5.53316,0.109161
349,5.54908,0.109494
350,5.56501,0.109831
351,5.58095,0.110161
352,5.59691,0.1105
353,5.61281,0.110828
354,5.62873,0.111161
355,5.64464,0.111486
356,5.6605,0.111811
357,5.67641,0.112139
358,5.6919,0.112472
359,5.70724,0.112797
360,5.72256,0.113125
361,5.73794,0.11345
362,5.7533,0.113775
363,5.76869,0.114103
364,5.78411,0.114433
365,5.79974,0.114758
366,5.81522,0.115083
367,5.83101,0.115408
368,5.84704,0.115731
369,5.86301,0.116056
370,5.87891,0.116381
371,5.89484,0.116708
372,5.91084,0.117039
373,5.92683,0.117367
374,5.94274,0.117697
375,5.95866,0.118028
376,5.97456,0.118358
377,5.99018,0.118689
378,6.00581,0.119014
379,6.02152,0.119342
380,6.03729,0.119672
381,6.05301,0.119994
382,6.06889,0.120322
383,6.08481,0.120644
384,6.10071,0.120972
385,6.11662,0.121292
386,6.13258,0.121617
387,6.14909,0.121939
388,6.16571,0.122267
389,6.18221,0.122594
390,6.19816,0.122919
391,6.21374,0.12325
392,6.22929,0.123583
393,6.24485,0.123914
394,6.26042,0.124247
395,6.276,0.124583
396,6.29156,0.124919
397,6.30706,0.125253
398,6.32261,0.125592
399,6.33818,0.125947
400,6.35383,0.126294
401,6.36935,0.126639
402,6.38494,0.126983
403,6.40066,0.127328
404,6.41627,0.127672
405,6.43178,0.128017
406,6.44726,0.128367
407,6.46281,0.128714
408,6.47833,0.129061
409,6.49391,0.129422
410,6.50944,0.129772
411,6.52521,0.130125
412,6.54087,0.130486
413,6.55645,0.130842
414,6.57206,0.131197
415,6.58776,0.131556
416,6.6036,0.131914
